,document,label,star
6655,넷플릭스에도 내주세요ㅠㅠㅠㅠ ,1,10
2860,세상에 수퍼맨의 액션을 제대로 보여주다니 만화에서도 표현하지 못할 영상미를 제공한다 처음부터 영화가 끝날때 까지 눈을 뗄 수가 없었다 평점 점도 부족할 정도다 흥행도 외계인 수준일 것 같다 ,1,10
21868,저렴하게 만들었네  비용 얼마 안들었겠다 ,0,4
6166,인생을 담은 내 인생영화를 통해 조금이나마 인생을 배웠다 ,1,10
30524,재난영화인줄 알고 밧다가 시간 진짜 통으로 잣다 기대말고 봐라 시간아까움 ,0,2
34734,년 이란 긴 시간의 마지막 종점이라는게 그저 아쉬울 따름이다 ,1,10
9432,진짜 재밌게 봤어요 분위기 스토리 배경 음악 하나도 흠 잡을 게 없었던 거 같습니다 진짜 재밌었어요 ,1,10
3755,충무로 알밥들 또 별점테러하네 ㅋㅋㅋㅋㅋㅋㅋ 별점테러 업무 끝나고 밤에 심야로 보러가야지 ㅋ ,1,10
18379,평점을 ㅈ 같이 깎아놓노 누구야 ㅡㅡ ,1,10
20923,관람객음악이 너무 좋고 배우들도 매력 ,1,10
751, 옛날영화느낌 핵노잼 뮤지컬들어가니깐 평점 봐라 평론가들 ㅋㅋ ,0,1
18776,아아아아 귀농하고싶ㅍ다 ,1,8
13365,케빈은 엄마를 닮았었다 ,1,10
1249,아무리 영화지만 개연성이 너무 없다그래도 웃기기라도 하면 머 인정하겠는데 웃긴장면이 하나도 안나온다 ,0,1
26766,연기 다들 최고였고 스토리 없었어도 저정도면 재밌었어요 ,1,8
35186,아빠랑 학생때부터 봤던 엽문마지막이라 슬프네요 특히 이번 판이 감동적이고 재미있었습니다 더이상 견자단의 엽문을 못보는게 너무 아쉽습니다ㅠㅠ ,1,10
11562,시간가는 줄도 모르고 본 액션영화  ,1,10
29981,관람객두 번째 보는 건데 이번엔 아사코 시점 감정으로 봤더니 더 좋았어요ㅠㅠ 여운이 많이 남는 영화라 또 보고 싶어요ㅠㅠㅠ 글고 남자 배우 히가시데 마사히로한테 빠졌슴다ㅠㅠㅠ 내한한다 해서 또 볼거에요ㅠㅠㅠㅠ ,1,10
16741,자꾸 내 몸 어딘가에서 냄새가 나는 것만 같다 ,1,10
2055,관람객예상할 수 있는 스토리였지만 연출에 눈을 뗄 수 없었다 ,1,9
5841,잘만들긴했는데 중간중간 요쓰는건 현실성도없고 아무리 여도 저런식으로 숨기려고하는 부분도 현실성이없어서 조금아쉽 ,1,8
1618,스토리도 엉망이고 코믹이라고 하는 대사들도 저랑 코드가 전혀 안 맞더군요 단 한번도 웃지 않았습니다 중반이후에 그냥 보다 나갔습니다 ,0,1
29764,극 중 등장하는 고양이는 아사코를 사랑하는 료헤이의 마음을 상징하는 메타포 영화의 마지막 부분 버려져서 사라져버린줄 알았던 그의 사랑은 어디에 있었나 ,1,7
24783,노잼 유치진짜 너무 유치해재미없어요 돈 아까워너무 화나요돈 아까워서ㅡㅡ진짜 이렇게 유치하게 만들기도 힘들텐데 ,0,1
28215,주제가 무엇인지 알기 어렵다 단순 전쟁영화인지 아님 전우애 영화인지 또한 등장인물들이 너무 많이 등장해 영화가 끝나고 누가누군지 소수만 기억할 수 있었다 영화를 보면서 느낄수록 액션씬이 점점 더 정신없어진다 마이클 베이보다도 더하다 허나 훌륭한 시가전 연출에 폭발적인 액션씬 그리고 배우들의 찰떡 연기로 이 영화의 질을 높인 것 같다 더군다나 년 작이라고는 믿기지 않을 정도의 가 눈호강했다 완벽한 시가전 액션을 보여준 영화 ,1,7
13118,그냥 보세요 평점 신경쓰지 말고 제발 봐주세요 ㅠ 안 보려다가 본건데 후회 도 없고 마지막에 혼자 겁나 울음 ㅠㅠ 사람마다 달라서 재미없을수도 있는데 전 진짜 너무 재밌게 봤어요  댓글 알바 이딴 거 아님  ,1,10
35941,개꿀잼평점 이랑 리뷰 때문에 기대 덜하래서 덜 하고 봤는데 재밌슴 ,1,10
1578,토렌트아이건좀 ,0,2
13078,따뜻한 감성의 사랑영화 ,1,9
25562,내가 휴대폰으로 찍어도 이거보다 스케일 클듯 ,0,1
28686,아 쫄려서 혼났네요 영화의 중력이 상당히 셉니다 ,1,10
39327,공감이됬다 무능력한데 행동도 거지같은 남편 나도 증오스럽고 연애때 모습 또 내가생각한 결혼남편의 모습과 무척 달라서 느끼는 우울감과분노 에이미에 몰입이되더라 우리부부도 남들이보면 부러워하지만 영화와 다를바,1,9
28137,캐릭터 하나가 너무 비현실적 몰입감 방해하나 볼만함 ,1,8
4220,감정선 자극에 치우치지 않고 과학적으로 팩트 찾기에 집중한 다큐입니다 혹시나 너무 슬퍼서 힘들까봐 차마 못 볼 것 같은 분들 계실까봐 글 남깁니다 영화 제작에 힘 쓴 제작진 그리고 후원자 모두에게 고맙다는 말씀 ,1,10
22315,요즘도 이런영화를 만드나이 배우들이 왜 출연을 오케했을까너 형 있냐 나 형 있다아할때 거의 아빠일어나 수준 아닌가걱정말아요그대를 탕이나 할거라는것도 모든게 상상을 뛰어넘는 제의 클레멘타인 ,0,1
11764,범죄의 재구성 타짜 도둑들이 여기있구나 ,1,10
23342,당신들이 너무 따뜻해서 나는 아무것도 할 수 없습니다 ,1,8
1410,내 기준으론 재미없다 옆에 내  친구는 자더라 ,0,2
10435,오랜만에 긴장하며 본 영화입니다 음악이나 영상미만으로도 긴장감을 일으키네요 스토리적으로 설명이 부족하고 불친절해서 뭐지스러운 부분들이 많긴 하지만 그만큼 좀 더 생각을 할 수 있게 이끄는 부분들이 많은 것 같습니다영화 중반부까지는 대박이네 라는 말이 저절나왔지만 마지막에 준석의 힘으로 한에게 벗어나지 않는 부분 도망친 곳에서 복수를 꿈꾸고 다시 돌아가는 장면이 아쉽긴합니다결말에 감독님의 의도가 있을 것 같은데 그 의도가 궁금하네요 ,1,8
6628,역사의 흐름을 마주하는 인물들의 모습과 그 중심에 있는 두 인물의 모습을 적나라하게 보여주는 영화 장국영이라는 인물을 영화관에서 다시 볼 수 있다는 것만으로도 점인 영화 ,1,10
40122,행복했다가 울었다가 대조 되는 기억이 너무 아팠다 믿기지 않아 내 유년 시절이 끝났다니 찬란했던 기억들은 오히려 현재를 더 괴롭게 만들지도 모른다 그러나 우리는 그 기억들 덕분에 살아간다 ,1,10
1971,관람객보는내내 긴장감이 지속됐고 특히 영상미가 좋았어요 ,1,8
8599,신파 절여기까지 하면 그냥 넘어갈만 했다 ,0,2
