Unnamed: 0,document,star,label
0,와우 , 10,1
1,아이들과 정말 재밌게봤어요~ , 10,1
2,, 10,1
3,"진부한 스토리가 예상되고 넷플릭스의 수많은 저질 작품들, 또 나오는 크리스 햄스워스로 인해 기대 안하고 보게 됐는데 존윅을 보는 듯한 차량씬, 롱테이크 액션신에 깜짝 놀람. 절제된 감정선. 간만에 괜찮은 작품 나왔네요. ", 10,1
4,팝콘 먹으러 영화관온거 같음....아.. 맞다.. 푹 자서 내용이 기억이 안나네? , 1,0
5,훌륭합니다. 몰입하게 되는 영화 , 10,1
6,, 10,1
7,애들과 함께 봤는데 애들도 좋아하고 저도 재밌게 잘 봤어요. 고양이 너무 귀여워요~ 재밌게 봤습니다~~~^^ , 10,1
8,덩케르크는 2차부터가 진짜다 , 10,1
9,DC야 분발해라 이런거가지고 어벤져스 따라잡을 수 있겠냐? 요즘 애들은 슈퍼맨 배트맨이 뭔지도 모르더라 , 2,0
10,노르망디 상륙작전은 하이퍼 리얼리즘의 극한. 그 이후는 스필버그표 휴머니즘. , 9,1
11,"김희철, 강동원, 나훈아가 나오는 영화 ", 8,1
12,어릴적부터 알고지낸 친구를 떠나보내는 기분 , 10,1
13,인생 쓰레기작! 진짜 아홉살이랑 같이 보다 쌍욕과 폭력이 난무한 걸 보고 소스라치게 놀람. 아이들은 순수함 1도 없고 어른들은 죄다 싸이코들. 최악의 영화! , 1,0
14,재밌음 ㅋㅋ 검찰이란 거대권력기관과 대통령간의 관계 등 그리고 노무현 서거 장면은 영화에서 압도적인 분위기를 자아냄 , 8,1
15,, 10,1
16,, 10,1
17,, 10,1
18,, 10,1
19,견자단이 그간의 액션의 무게를 내려놓는구나... 고생하셨어요. 감사합니다. , 10,1
20,영화를 보이는 그대로 해석하는 수준 낮은 리뷰들 때문에 눈살 찌푸려져서 리뷰 남겨봄.타에코의 아빠가 가족이 모두 있는 공간에서 담배를 핀 것은 일본의 간접흡연 문화를 비판하는 장면임. 외에도 철 없이 생리를 놀리는 초등학생들도. ‘엄마는 부끄러운게 아니랬어 ‘ 하는 대사가 나온 장면에서 알 수 있듯이 이런 장면들은 단순히 ‘ 일본이 이래요~’ 하는데서 그치는 것이 아님. 다카하타 이사오의 일본 의식 문화를 개선 하고자 하는 연출들을 못알아보는 사람이 영화 자체를 다 까내리는 리뷰를 써대서 아이러니 했음. 이 영화는 보이는 그대로 이해하는 1차원적인 작품이 아님. 영화를 해석할 자신이 없다면 애초에 안보는 걸 추천. 개인적인 평가는 전체적으로 분위기나 느낌은 잘 표현했으나 스토리가 빈약해서 아쉬움이 남음. 긴 러닝타임에 비해 불필요한 요소들에 너무 중점을 두고 시간을 끌어서 중반에서 지루하다고 느껴졌음. 그렇지만 초반과 마무리에서 인상적인 표현들이 많았음. 옛날 일본의 감성을 느끼고 싶다면 충분히 좋은 작품. 이제는 볼 수 없게된 다카하타의 작품이기에 어딘가 여운이 남음. , 8,1
21,ㅋㅋ아니 재미없는걸 재미없다고 1점 준건데 극 일뽕 십덕 오타쿠 새~기들 와서 일본영화라 1점 준거다 뺴에에엑 ㅇㅈㄹ  가서 애니 캐릭터랑 사랑이나 나누세요^^ , 1,0
22,솔직히 딱 7-8점대긴한데 한남들 여자주연이라는 것만으로 열폭질해대면서 평점깎아내리는거 ㅈ같아서 10점 줌ㅋㅋㅋㅋ , 10,1
23,경찰청사람들에서 나왔던 사건을 그냥 카피했네 -- , 2,0
24,배우분들의연기가 너무좋았어요ost도 장면과 잘어울려져서 돈주고본후회하지않아요 즐겁게봤습니다 , 8,1
25,기레기환타지 영화 찌라시기자들의 백일몽 , 1,0
26,거친 아버지와 형이지만 자식과 동생을 위한 희생에서 가슴이 뭉클. 마지막 빌리의 비상을 보며 눈물흘리는 아버지의 모습이 기억에 남는다 , 10,1
27,, 10,1
28,1917보다 천배는 뛰어나다 마지막 교전씬은 가히 그럴만하다 , 10,1
29,"""20대여성이 좋아하는 연기가 뛰어난 영화입니다"" ", 1,0
30,, 10,1
31,박평식 OOO기 색히 입에다 똥을 쏴주고 싶네 , 10,1
32,시간 가는거 모르게 봤댜(남주때문인가..)근데 똑같은 과거회상이 너무 많이 나와요. , 8,1
33,, ,0
34,예고편만 봤다. 이런건 돈주고 극장에서 보지말고 나중에 집에서 보자. , 2,0
35,이 영화는 나와서는 안됐다... , 1,0
