,document,star,label
0,"뮤지컬 드라마로썬 가장 이상적이고 완벽했던 영화, 무엇보다 요즘엔 보기 힘든' 글램록 '  을 너무나도 생생하게 잘 표현해냈다, 음악 영화 답게 영화의 OST도 매우 좋다. ",10,1
1,처음 봤을때 멘붕 두번 보니 이해가 간다. 퀴어 영화 아니고 퀴어를 소재로한 젊음과 청춘 유행 그리고 자본주의 세상에서의 야망이야기 절대 쉽지 않은 영화 그리고 처음엔 대충 보면 멘붕 두번째 제대로 보면 이해가 됨 ...,10,1
2,"나도 15살때 마릴린맨슨에 푹 빠져서 이상한 짓했는데, 어른이 되고보니 그 시절을 감추고 싶고 한편으론 피식 웃음이나오면서 그립기도하다. 내가 나이들어 더이상 그런취향이 아닌건지, 아니면 사회화되면서 취향이 교화된건...",9,1
3,색깔이 화려하다. 화려한 색감과 신나는 음악 덕에 두시간이 지루하지 않다. 솔직히 이들의 삶이 막장이긴 했다. 영화로 비춰져서 아름답네 멋있네로 포장하고 싶진 않다. 아주 개막장이다ㅋㅋ그리고 이완맥그리거의 연기는 정...,7,1
4,'다시는돌이킬수없다. Life is image. 의미란 사물의 안에있지않다. 그사이에있다.' ,10,1
5,"마이어스, 맥그리거, 베일..10년전 모습..지금은 다 스타됬군 ",10,1
6,남자지만 이 영화보고 조나단 리스 마이어스한테 반했음... +_+ ,10,1
7,관람객아름답고 화려하지만 씁쓸하다... ,10,1
8,"관람객형용할 수 없이 아름답고 퇴폐적인, 끝의 여운이 씁쓸한 영화였습니다. ",10,1
9,조나단 리스 마이어스의 미모가 포텐터짐 ,8,1
10,"관람객햄릿, 드라큐라 등 조나단 리스 마이어스의 섹시함을 극단적으로 보여준 영화. 이 영화의 인물들의 성적욕망은 남성, 여성 어떤 대상을 향해있지 았다. 리비도 그 자체를 갈망하는 극단적인 인물들. 스토리진행은 시민케인과...",9,1
11,"대사, 장면들  전부를 이해할순 없었지만 그렇다고 영화 전체를 이해할수 없을정도로 난해하지 않다. 뭐랄까.. 이성적으로 '이해'를 해야하는 머리는 이 영화를 따라가기 힘들지만, 감성적으로 '이해...",10,1
12,한번보고 좋다 라고 하며 다시 보는 때가 돌아올때 영상과 음악 맞물림이 소름돋고 세번째 볼 때 부터는 처음 시작부터 눈물이 핑돌게 되는 영화.인간내면의 아이러니를 너무 서글프게 표현.조나단이 울며 곡 녹음할때 추잡스...,10,1
13,관람객인생 최고의 음악 영화. 리즈 시절의 이안 맥그리거와 조나단 리스 마이어스를 볼 수 있는 것 만으로도 충분하다 ,10,1
14,관람객너무나 연약하고 글램스러운. ,8,1
15,세상을 바꾸려 했지만 바뀐 것은 우리 자신이었다. ,10,1
16,관람객지금의 우리의 모습은 초라하지만 우리가 기억하는 그 시절은 분명 화려하고 멋있었다! ,10,1
17,관람객정말 영상미 최고입니다♡ ,10,1
